product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,otif,shipment_delay_days,freight_cost_per_unit,total_cogs,inventory_value,inventory_turnover,inventory_turnover_capped,ccc,supplier_concentration_hhi,transit_time_variance,safety_stock_days,transport_otif_rate,transport_avg_delay
haircare,SKU0,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,1,-3,0.003686498926971081,37116.46315088768,4048.8643214427143,9.16712939831536,9.16712939831536,-18,0.054743293983577745,2.7825989906663056,3.561726708052871,0.7931034482758621,-12.413793103448276
skincare,SKU1,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,1,-28,0.013201867895966453,24741.94194994528,786.7067335794701,31.45001929419223,31.45001929419223,2,0.054743293983577745,2.7825989906663056,3.561726708052871,0.7931034482758621,-12.413793103448276
haircare,SKU2,11.319683293090566,34,8,9577.74962586873,Unknown,1,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,0,-8,1.0068099077165193,245.50415478627363,11.319683293090566,21.68825296871399,21.68825296871399,-15,0.054743293983577745,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
skincare,SKU3,61.163343016437736,68,83,7766.836425685233,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,1,-7,0.02083817546437866,2956.8535359613775,1406.7568893780679,2.1018937659289607,2.1018937659289607,1,0.05081365111241233,2.646986200891954,3.388142337141701,0.7857142857142857,-8.321428571428571
skincare,SKU4,4.805496036345893,26,871,2686.505151567447,Non-binary,5,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,0,5,0.00446675994933487,80188.75488147888,24.027480181729466,3337.3767983566804,280.1014772771418,8,0.08069848213703432,2.585847962779267,3.309885392357462,0.8461538461538461,-13.153846153846153
haircare,SKU5,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,1,-24,0.030231965063825125,8344.671906942474,152.9978412479344,54.541108808325326,54.541108808325326,13,0.06711712125358041,2.812204959107025,3.5996223476569917,0.7931034482758621,-12.413793103448276
skincare,SKU6,4.078332863107945,48,65,7823.476559531737,Male,11,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,1,-7,0.0597040508146462,70.52945702315947,44.861661494187395,1.572154366870647,1.572154366870647,-1,0.05081365111241233,2.7825989906663056,3.561726708052871,0.7647058823529411,-5.0588235294117645
cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,1,-16,0.005512532357788217,42372.56226513323,3995.129747568786,10.606054106482729,10.606054106482729,17,0.06711712125358041,2.812204959107025,3.5996223476569917,0.7931034482758621,-12.413793103448276
cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,1,-3,0.022698225713886844,1713.4540709348544,343.58798374263665,4.986944107504967,4.986944107504967,9,0.054743293983577745,2.812204959107025,3.5996223476569917,0.7647058823529411,-5.0588235294117645
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,1,-26,0.007312903358212465,46998.44960225255,896.2202611778996,52.44073542867981,52.44073542867981,5,0.05957290574940114,2.972092416687835,3.804278293360429,0.7857142857142857,-8.321428571428571
